industry,percent,color,image
Natural Resources,-0.7,decline,down.png
Construction,5.2,growth,up.png
Manufacturing,-0.2,decline,down.png
Wholesale Trade,1.3,growth,up.png
Retail,2.1,growth,up.png
Transport. & Warehousing,3.1,growth,up.png
Utilities,-3.4,decline,down.png
Information,-7.4,decline,down.png
Finance & Insurance,0.9,growth,up.png
Real Estate,-0.4,decline,down.png
"Prof., Scientific &Technical Services",3.7,growth,up.png
Management of Companies,1.8,growth,up.png
Admin. & Waste Services,2.6,growth,up.png
Education,0.8,growth,up.png
Health Care & Social Assistance,3.1,growth,up.png
"Arts, Entmt. & Recreation",8,growth,up.png
Accommod. & Food Services,4.7,growth,up.png
Other Services,-0.3,decline,down.png
Government,-0.5,decline,down.png
