industry,subsector,percent
Natural Resources,"Agric., Forestry, Fishing & Hunting",-2.2
Natural Resources,Mining,12.3
Construction,Construction of Buildings,4.4
Construction,Heavy and Civil Engineering Construction,8.4
Construction,Specialty Trade Contractors,4.9
Manufacturing,Food Manufacturing,0.5
Manufacturing,Beverage and Tobacco Product Manufacturing,12.3
Manufacturing,Wood Product Manufacturing,-1.5
Manufacturing,Paper Manufacturing,0.5
Manufacturing,Printing and Related Support Activities,-5.9
Manufacturing,Chemical Manufacturing,1
Manufacturing,Plastics and Rubber Products Manufacturing,0.5
Manufacturing,Nonmetallic Mineral Product Manufacturing,2.2
Manufacturing,Primary Metal Manufacturing,-11.2
Manufacturing,Fabricated Metal Product Manufacturing,-0.1
Manufacturing,Machinery Manufacturing,1.3
Manufacturing,Computer and Electronic Product Manufacturing,-1.1
Manufacturing,Electrical Equipment and Appliance Mfg.,-0.4
Manufacturing,Transportation Equipment Manufacturing,1.2
Manufacturing,Furniture and Related Product Manufacturing,2
Manufacturing,Miscellaneous Manufacturing,-1.2
Wholesale Trade,"Merchant Wholesalers, Durable Goods",0.7
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods",0.9
Wholesale Trade,Wholesale Electronic Markets & Agents & Brokers,3.7
Retail,Motor Vehicle and Parts Dealers,2
Retail,Furniture and Home Furnishings Stores,-0.7
Retail,Electronics and Appliance Stores,-2.8
Retail,Building Mat./Garden Equip. & Supplies Dealers,3.9
Retail,Food and Beverage Stores,-0.4
Retail,Health and Personal Care Stores,2.7
Retail,Gasoline Stations,2
Retail,Clothing and Clothing Accessories Stores,0.7
Retail,"Sporting Goods, Hobby, Book, and Music Stores",-3.5
Retail,General Merchandise Stores,1.2
Retail,Miscellaneous Store Retailers,-2.5
Retail,Nonstore Retailers,23.4
Transport. & Warehousing,Air Transportation,1.6
Transport. & Warehousing,Truck Transportation,5.1
Transport. & Warehousing,Transit and Ground Passenger Transport,2.2
Transport. & Warehousing,Support Activities for Transportation,1.4
Transport. & Warehousing,Couriers and Messengers,3
Transport. & Warehousing,Warehousing and Storage,2
Utilities,Utilities,-3.4
Information,Publishing Industries,-6.6
Information,Motion Picture and Sound Recording Industries,8.8
Information,Broadcasting (except Internet),-5.1
Information,Telecommunications,-17.9
Information,"Data processing, hosting and related services",2.4
Information,Other Information Services,2.1
Finance & Insurance,Credit Intermediation and Related Activities,0.6
Finance & Insurance,"Securities, commodity contracts & investments",3.9
Finance & Insurance,Insurance Carriers and Related Activities,0.8
Real Estate,Real Estate Services,0.1
Real Estate,Rental and Leasing Services,-1.6
"Prof., Scientific &Technical Services",Legal Services,-1.4
"Prof., Scientific &Technical Services",Accounting and Bookkeeping Services,-0.1
"Prof., Scientific &Technical Services","Architectural, Engineering, and Related Services",6.6
"Prof., Scientific &Technical Services",Specialized Design Services,4.7
"Prof., Scientific &Technical Services",Computer Systems Design and Related Services,4.8
"Prof., Scientific &Technical Services",Management and Technical Consulting Services,2.1
"Prof., Scientific &Technical Services",Scientific Research and Development Services,6.9
"Prof., Scientific &Technical Services",Advertising and Related Services,2.7
"Prof., Scientific &Technical Services",Other Professional and Technical Services,7.8
Admin. & Waste Services,Administrative and Support Services,2.4
Admin. & Waste Services,Waste Management and Remediation Service,5.1
Education,Elementary and Secondary Schools,0.2
Education,Junior Colleges,-5.9
Education,"Colleges,Universities, and Professional Schools",3.2
Education,Other Schools and Instruction,4.9
Education,Educational Support Services,4.3
Health Care & Social Assistance,Ambulatory Health Care Services,4.5
Health Care & Social Assistance,Hospitals,1.5
Health Care & Social Assistance,Nursing and Residential Care Facilities,1.2
Health Care & Social Assistance,Social Assistance,6.6
"Arts, Entmt. & Recreation",Performing Arts and Spectator Sports,-0.2
"Arts, Entmt. & Recreation","Museums, Historical Sites, and Similar Institution",0.5
"Arts, Entmt. & Recreation","Amusement, Gambling, and Recreation Industries",11.1
Accommod. & Food Services,Accommodation,6.2
Accommod. & Food Services,Food Services and Drinking Places,4.6
Other Services,Repair and Maintenance,0.7
Other Services,Personal and Laundry Services,-0.1
Other Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",-1
Other Services,Private Household,0.5
Government,Postal Service,2.2
Government,"Federal Government, Excluding Post Office",0.5
Government,"State Govt, excluding Education & Hospitals",-1.1
Government,"Local Govt, excluding Education & Hospitals",-0.8
Management of Companies,Management of Companies and Enterprises,1.8
