industry,percent
Total,1.75
Agriculture and Forestry and Fishing and Hunting,-2.19
Mining,-8.11
Construction,7.67
Manufacturing,-0.19
Wholesale Trade,0.86
Retail Trade,1.38
Transportation and Warehousing,3.5
Utilities,-2.58
Information,-1.53
Finance and Insurance,1.33
Real Estate and Rental and Leasing,1.63
Professional and Scientific and and Technical Services,3.5
Management of Companies and Enterprises,2.17
Administrative and Waste Services,0.52
Educational Services,-0.41
Health Care and Social Assistance,2.83
Arts and Entertainment and and Recreation,2.43
Accommodation and Food Services,5.25
Other Services,1.33
Government,-0.15
